Removed Pin From Net: NetName=GND Pin=T1-5
Removed Pin From Net: NetName=GND Pin=T1-6
Removed Member From Class: ClassName=Sheet1_wiekszy Member=U?
Change Component Footprint: Designator=D3 Old Footprint=FP-340CC-MFG New Footprint=FP-340CC-MFG
Change Component Footprint: Designator=D4 Old Footprint=FP-425-04-MFG New Footprint=FP-425-04-MFG
Change Component Footprint: Designator=L1 Old Footprint=WE-CMB_Type XXL_L43.5W23.5H43 New Footprint=WE-CMB_Type XXL_L43.5W23.5H43
Change Component Footprint: Designator=T1 Old Footprint=WE-FB_EP10 New Footprint=WE-FB_EP10
Change Component Footprint: Designator=L3 Old Footprint=WE-PD_7332R New Footprint=WE-PD_7332R
Change Component Footprint: Designator=L4 Old Footprint=WE-PD_7332R New Footprint=WE-PD_7332R
Change Component Footprint: Designator=L5 Old Footprint=WE-PD_7332R New Footprint=WE-PD_7332R
Change Component Footprint: Designator=L6 Old Footprint=WE-PD_7332R New Footprint=WE-PD_7332R
Change Component Footprint: Designator=L? Old Footprint=WE-PD_7332R New Footprint=WE-PD_7332R
Change Component Designator: OldDesignator=J? NewDesignator=J10
Change Component Designator: OldDesignator=J? NewDesignator=J12
Change Component Designator: OldDesignator=L? NewDesignator=L7
Change Component Designator: OldDesignator=Q? NewDesignator=Q1
Change Component Designator: OldDesignator=U? NewDesignator=U1
Change Component Designator: OldDesignator=U? NewDesignator=U5
Change Component Designator: OldDesignator=U? NewDesignator=U6
Change Component Designator: OldDesignator=U? NewDesignator=U7
Change Component Designator: OldDesignator=U? NewDesignator=U8
Add Pin To Net: Unknown Pin: Pin C2-1
Add Pin To Net: Unknown Pin: Pin C2-2
Add Pin To Net: Unknown Pin: Pin C3-1
Add Pin To Net: Unknown Pin: Pin C3-2
Add Pin To Net: Unknown Pin: Pin C4-1
Add Pin To Net: Unknown Pin: Pin C4-2
Add Pin To Net: Unknown Pin: Pin C5-1
Add Pin To Net: Unknown Pin: Pin C5-2
Add Pin To Net: Unknown Pin: Pin C6-1
Add Pin To Net: Unknown Pin: Pin C6-2
Add Pin To Net: Unknown Pin: Pin C7-1
Add Pin To Net: Unknown Pin: Pin C7-2
Add Pin To Net: Unknown Pin: Pin C9-1
Add Pin To Net: Unknown Pin: Pin C9-2
Add Pin To Net: Unknown Pin: Pin C10-1
Add Pin To Net: Unknown Pin: Pin C10-2
Add Pin To Net: Unknown Pin: Pin C11-1
Add Pin To Net: Unknown Pin: Pin C11-2
Add Pin To Net: Unknown Pin: Pin C12-1
Add Pin To Net: Unknown Pin: Pin C12-2
Add Pin To Net: Unknown Pin: Pin C13-1
Add Pin To Net: Unknown Pin: Pin C13-2
Add Pin To Net: Unknown Pin: Pin C15-1
Add Pin To Net: Unknown Pin: Pin C15-2
Add Pin To Net: Unknown Pin: Pin C16-1
Add Pin To Net: Unknown Pin: Pin C16-2
Add Pin To Net: Unknown Pin: Pin C17-1
Add Pin To Net: Unknown Pin: Pin C17-2
Add Pin To Net: Unknown Pin: Pin C18-1
Add Pin To Net: Unknown Pin: Pin C18-2
Add Pin To Net: Unknown Pin: Pin C19-1
Add Pin To Net: Unknown Pin: Pin C19-2
Add Pin To Net: Unknown Pin: Pin C20-1
Add Pin To Net: Unknown Pin: Pin C20-2
Add Pin To Net: Unknown Pin: Pin C21-1
Add Pin To Net: Unknown Pin: Pin C21-2
Add Pin To Net: Unknown Pin: Pin C22-1
Add Pin To Net: Unknown Pin: Pin C22-2
Add Pin To Net: Unknown Pin: Pin C23-1
Add Pin To Net: Unknown Pin: Pin C23-2
Add Pin To Net: Unknown Pin: Pin C24-1
Add Pin To Net: Unknown Pin: Pin C24-2
Add Pin To Net: Unknown Pin: Pin C25-1
Add Pin To Net: Unknown Pin: Pin C25-2
Add Pin To Net: Unknown Pin: Pin C26-1
Add Pin To Net: Unknown Pin: Pin C26-2
Add Pin To Net: Unknown Pin: Pin C27-1
Add Pin To Net: Unknown Pin: Pin C27-2
Add Pin To Net: Unknown Pin: Pin C28-1
Add Pin To Net: Unknown Pin: Pin C28-2
Add Pin To Net: Unknown Pin: Pin C29-1
Add Pin To Net: Unknown Pin: Pin C29-2
Add Pin To Net: Unknown Pin: Pin C30-1
Add Pin To Net: Unknown Pin: Pin C30-2
Add Pin To Net: Unknown Pin: Pin C31-1
Add Pin To Net: Unknown Pin: Pin C31-2
Add Pin To Net: Unknown Pin: Pin C32-1
Add Pin To Net: Unknown Pin: Pin C32-2
Add Pin To Net: Unknown Pin: Pin C33-1
Add Pin To Net: Unknown Pin: Pin C33-2
Add Pin To Net: Unknown Pin: Pin C34-1
Add Pin To Net: Unknown Pin: Pin C34-2
Add Pin To Net: Unknown Pin: Pin C35-1
Add Pin To Net: Unknown Pin: Pin C35-2
Add Pin To Net: Unknown Pin: Pin C36-1
Add Pin To Net: Unknown Pin: Pin C36-2
Add Pin To Net: Unknown Pin: Pin C37-1
Add Pin To Net: Unknown Pin: Pin C37-2
Add Pin To Net: Unknown Pin: Pin C38-1
Add Pin To Net: Unknown Pin: Pin C38-2
Add Pin To Net: Unknown Pin: Pin C39-1
Add Pin To Net: Unknown Pin: Pin C39-2
Add Pin To Net: Unknown Pin: Pin C40-1
Add Pin To Net: Unknown Pin: Pin C40-2
Add Pin To Net: Unknown Pin: Pin C41-1
Add Pin To Net: Unknown Pin: Pin C41-2
Add Pin To Net: Unknown Pin: Pin R1-1
Add Pin To Net: Unknown Pin: Pin R1-2
Add Pin To Net: Unknown Pin: Pin R2-1
Add Pin To Net: Unknown Pin: Pin R2-2
Add Pin To Net: Unknown Pin: Pin R3-1
Add Pin To Net: Unknown Pin: Pin R3-2
Add Pin To Net: Unknown Pin: Pin R4-1
Add Pin To Net: Unknown Pin: Pin R4-2
Add Pin To Net: Unknown Pin: Pin R5-1
Add Pin To Net: Unknown Pin: Pin R5-2
Add Pin To Net: Unknown Pin: Pin R6-1
Add Pin To Net: Unknown Pin: Pin R6-2
Add Pin To Net: Unknown Pin: Pin R8-1
Add Pin To Net: Unknown Pin: Pin R8-2
Add Pin To Net: Unknown Pin: Pin R9-1
Add Pin To Net: Unknown Pin: Pin R9-2
Add Pin To Net: Unknown Pin: Pin R10-1
Add Pin To Net: Unknown Pin: Pin R10-2
Add Pin To Net: Unknown Pin: Pin R11-1
Add Pin To Net: Unknown Pin: Pin R11-2
Add Pin To Net: Unknown Pin: Pin R12-1
Add Pin To Net: Unknown Pin: Pin R12-2
Add Pin To Net: Unknown Pin: Pin R13-1
Add Pin To Net: Unknown Pin: Pin R13-2
Add Pin To Net: Unknown Pin: Pin R14-1
Add Pin To Net: Unknown Pin: Pin R14-2
Add Pin To Net: Unknown Pin: Pin R15-1
Add Pin To Net: Unknown Pin: Pin R15-2
Add Pin To Net: Unknown Pin: Pin R16-1
Add Pin To Net: Unknown Pin: Pin R16-2
Add Pin To Net: Unknown Pin: Pin R17-1
Add Pin To Net: Unknown Pin: Pin R17-2
Add Pin To Net: Unknown Pin: Pin R18-1
Add Pin To Net: Unknown Pin: Pin R18-2
Add Pin To Net: Unknown Pin: Pin R19-1
Add Pin To Net: Unknown Pin: Pin R19-2
Add Pin To Net: Unknown Pin: Pin R20-1
Add Pin To Net: Unknown Pin: Pin R20-2
Add Pin To Net: Unknown Pin: Pin R21-1
Add Pin To Net: Unknown Pin: Pin R21-2
Add Pin To Net: Unknown Pin: Pin R22-1
